,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Belarus,Turkmenistan,Bulgaria,Japan,Vietnam,Puerto Rico,Ireland,Eq. Guinea,Gabon,Belize,Kosovo,Cyprus,Finland,W. Sahara,Iceland,Switzerland,Czechia,Oman,Mongolia,Solomon Is.,North Korea,Fr. S. Antarctic Lands,Estonia,Cuba,Hungary,Fiji,Timor-Leste,Uruguay,Kazakhstan,Slovenia,Lithuania,Somaliland,Malawi,Portugal,South Korea,Chile,Taiwan,Luxembourg,Brunei,New Caledonia,Falkland Is.,Palestine,Costa Rica,Bahamas,New Zealand,Greece,Vanuatu,Norway,Suriname,Montenegro,N. Cyprus,Latvia,Greenland,Slovakia,Denmark
2025-11-30,18.167260274865697,0,0.8561020274661078,8.865274290596119,0.12857142857142856,0,0,0,0.04043136146190434,0,7.561627103893231,0.010107840365476085,23.47574797654331,0,0,0,0,75.391097203807,282.1804555632049,16.357899087886057,0.8202392182504764,31.770668628181923,0,38.598310962656846,10.088927547321852,0,40.181060908582424,0,0,0,0,607.044264105346,45.995432892473254,0.6440901089885639,0,0,245.94006133312953,1.0363636363636364,0,0,0,9.264990439087263,1.4580301455301456,0.034146400457575235,0,0,42.000026004362326,0.2777777777777778,61.17059955737378,26.880429225946465,50.06926189643733,9.464187996614802,2047.6421449616405,0,0.8951110142126475,0.48480911248256375,0,3.5394353430129772,1.375,0,0,0.0695024032456795,25.406554195012916,0,0.2773263915393752,0.9076262285242703,0,0.16914285714285715,173.0213042801451,0.034146400457575235,0,251.72222222222223,0,0.7736589690003483,35.2714846299752,141.59667568002845,0,0.01843424504814484,0,0,89.5274999348243,740.2487866517331,0,435.39337940312873,0,1.2682427721053946,0,0.4632661243010392,11.717713239432449,0,0.05754788724865418,0,203.74304245911543,0.06600698770854013,0.5013325862431887,0,0,0,0,291.02364561667844,31.171866783523225,4.891581632653062,0,0,911.5401360461121,0.9935064935064934,551.0242276828787,0.0707548825583326,0.6646315737111118,3.3024179017502298,0.9199999999999999,0.9988519504207899,0,0.06829280091515047,1.7708333333333335,6847.65562384347,0,0,0.03836525816576945,0.013201397541708028,7.229564855194193,124.04070357706156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-31,110.78629583268139,0,0.923032209421099,10.06603005236751,0.0,0,0,0,0.017488635346019032,0,5.515082729839329,0.004372158836504758,20.532151548522176,0,0,0,0,32.30515794719521,160.72709381065175,14.573782370166287,1.1425568056705457,38.556252277656604,0,31.411593237540067,11.469412645278735,0,41.07197311489506,0,0,0,0,350.22387391873815,20.8928261963032,0.32782027945472925,0,0,269.4008768139332,0.4772727272727273,0,0,0,4.616648303094839,1.4107328482328483,0.0073070143144978675,0,0,35.92166456300031,1.6756272401433692,34.125315564515006,24.594801061007956,16.00748076009345,10.712813712280205,1215.254098126997,0,1.3473571411735787,1.2869003950758318,0,4.402581705662,0.5,0,0,0.043205713594593596,25.177438233365564,0,0.1473390311491094,0.0,0,0.0877142857142857,231.70651215099178,0.0073070143144978675,0,251.72222222222223,0,0.5913851619644723,24.23695870865682,97.20637426065605,0,0.02214551287730787,0,0,95.73229337479734,967.7804485798799,0,471.375030710423,0,1.152651661130255,0,0.4704039352834977,9.373111151840991,0,0.03112303329880391,0,71.7349946579386,0.020396354516991302,0.5571094593149957,0,0,0,0,280.59642202060235,51.17741747005551,7.475877851140456,0,0,434.27378356493335,0.564935064935065,511.7879230904651,0.030605111855533305,0.06638673420565007,1.3370622191344301,2.408362919491518,0.6846270116475505,0,0.014614028628995735,0.0,6945.685828027599,0,0,0.020748688865869273,0.00407927090339826,6.457432781813357,111.78769271979404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-31,62.28613316903979,0,0.7839117226795703,3.7782727528983635,0.03214285714285714,0,0,0,0.021922115106817134,0,4.38827986584186,0.0054805287767042835,43.65564868441327,0,0,0,0,28.773324460585087,282.8363203333554,13.177366356134891,0.5605608854989751,32.91341077864217,0,30.884816913018906,26.040326544802323,0,37.83592473006674,0,0,0,0,555.5443932897991,27.065976845335467,0.2830881615991664,0,0,327.6780724683291,0.5420454545454545,0,0,0,1.5384690606568467,1.6735966735966736,0.003350675678635991,0,0,27.848801855885856,2.544802867383513,43.64879869354617,15.517496985772848,9.50857144526606,5.9666936253533525,1837.8961992768182,0,1.2771397537731475,0.5997623546981247,0,10.38443045364674,0.625,0,0,0.03139849637074499,26.201098722566385,0,0.26790614098357446,0.11343686698176908,0,0.002727272727272727,165.4190736654815,0.003350675678635991,0,265.44444444444446,0,0.40717345872518285,35.31162792483547,108.42658196140006,0,0.011030519548883453,0,0,47.514431393745326,576.7480256167255,0,340.6763200863254,0,2.2327265400531005,0,0.1699381100913047,12.00109924390533,0,0.06337888851521292,0,65.01214282758626,0.07184562088983724,0.3252535959220586,0,0,0,0,313.24023476523473,25.80505404615834,26.11168217286915,0,0,1387.761592727562,0.42857142857142855,292.04427596637936,0.038363701436929985,0.23056154270592724,1.7410290052477893,0.7983673469387754,0.6908037910638605,0,0.006701351357271982,0.625,6894.16336971683,0,0,0.04225259234347528,0.014369124177967449,6.220499505761579,110.92454948152623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-28,16.25090557033328,0,0.35770370858334855,3.4138673298540168,0.6030874785591767,0,0,0,0.18330643075380895,0,4.2369653835925964,0.04582660768845224,11.522485180955488,0,0,0,0,46.71999395877795,223.85994640280356,17.390620567213077,0.7262866450554736,29.719387370280312,0,26.304320995145066,13.840016474547658,0,45.62656631953598,0,0,0,0,928.5246182730377,0.0,0.3165815199154912,0,0,173.85912472457778,0.6715909090909091,0,0,0,6.981304059787892,0.7112785862785864,0.01156692181197222,0,0,30.600137535406112,4.345878136200716,36.94318013448522,19.639990354473113,28.3097238175826,10.977209236161741,1458.674173888921,0,0.6075929766946101,0.9669215390877072,0,14.392100035658373,0.75,0,0,0.1437894525216407,27.368316842083335,0,0.3027907794691832,0.10707494935854153,0,0.18508838383838383,321.2739205259865,0.01156692181197222,0,294.906862745098,0,0.3071332288401254,31.995162070633768,107.51000137624324,0,0.016062631140638283,0,0,74.53064975285403,849.1238907555785,0,355.7323669009269,0,1.4245521884193448,0,0.15349879986910528,10.396591927337894,0,0.0939306707716875,0,62.7890700630317,0.05177315088036442,0.3832688510267126,0,0,0,0,255.9907543276396,31.724306164183467,37.85440426170468,0,0,1734.1373157045577,0.487012987012987,711.8840085012915,0.32078625381916565,0.0,0.0,1.2220408163265306,2.383301662958793,0,0.02313384362394444,0.75,6913.399753861407,0,0,0.062620447181125,0.010354630176072884,4.216482304682818,84.92806303360334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,28.027405074844836,0,0.4503239836741483,2.3173061150153482,0.6272727272727272,0,0,0,0.052237793221287854,0,10.02616846027203,0.013059448305321963,4.47705087418767,0,0,0,0,54.52521377524789,203.37051920825508,12.001915921215756,0.8210874319381348,29.62683378979616,0,44.9111930860012,7.949341908258516,0,43.185808020405425,0,0,0,0,481.59180246939025,19.039037039854932,0.13048184232687052,0,0,180.18985614350345,0.15000000000000002,0,0,0,5.919830679773344,0.09186590436590437,0.018128395671599525,0,0,41.7021478052128,0.0,47.36841330396392,8.859363395225465,16.090555058145885,11.740151347770086,492.0245786221279,0,0.5724018585050475,1.2738205666209144,0,10.10793261012663,1.0,0,0,0.06763954744862409,23.26269207893183,0,0.07921191887576864,0.5986945757371145,0,0.1707878787878788,187.24209749369817,0.018128395671599525,0,265.44444444444446,0,0.49135318704284225,39.96777785457031,177.76781183660546,0,0.02820663975148923,0,0,35.66664601531123,714.5348496596881,0,320.28555416904186,0,1.138798700740303,0,0.17585915493747084,13.166561602091296,0,0.10160714470030273,0,99.0027331233645,0.18077759778606348,0.33020138438730795,0,0,0,0,200.0825260804769,58.03581653520304,74.04040366146458,0,0,1223.109216418462,0.7597402597402598,419.5749590728584,0.09141613813725374,0.3025949251509842,3.315096401464821,1.0538008632611156,1.3147407209823854,0,0.03625679134319905,0.5,7123.054438512863,0,0,0.06773809646686849,0.0361555195572127,0.8633405665626859,172.58806390914364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,59.56326800709331,0,0.5455333973389825,4.806479382180559,0.27759740259740256,0,0,0,0.037374185631467785,0,1.3351506456241033,0.009343546407866946,18.28205014909681,0,0,0,0,54.0726213822492,255.83125958597654,4.319578987607957,0.696599118785715,29.829969900386423,0,23.16513272072614,10.253084492391961,0,45.311760511929414,0,0,0,0,421.1499794105711,0.0,0.05796203914160049,0,0,197.0799473252142,1.4625,0,0,0,4.567521393427205,2.0819906444906446,0.01686782854479379,0,0,44.724730219626935,0.0,38.39462413328549,24.995268869061974,12.702354607542,12.564643951651108,603.4964592779659,0,0.511785930343099,1.4159771670074492,0,6.579264743208911,0.25,0,0,0.062395895756337444,23.597102802348143,0,0.25926645077980676,0.14179608372721134,0,0.2290909090909091,140.69329706384872,0.01686782854479379,0,277.95588235294116,0,1.3145255606462503,34.56858340820605,103.77806108398164,0,0.035522831043707584,0,0,93.09339517206493,545.7953677378594,0,313.20375316403903,0,0.9600888811572922,0,0.16027510190998706,10.28820647827246,0,0.08864610899962454,0,97.53324467770591,0.07806547251025046,0.15583219261515774,0,0,0,0,288.5514387252092,52.41904761904762,34.403961584633855,0,0,1199.2504089741299,0.9545454545454546,172.47548303335074,0.06540482485506863,0.0,16.584120362701647,0.4502040816326531,1.7560350299298229,0,0.03373565708958758,0.0,6682.450787259841,0,0,0.05909740599974969,0.015613094502050093,4.837556060987998,114.11419609913992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
