lat,lon,v
32.75,-98.25,27.192716733242076
32.75,-96.75,47.408570827295385
32.25,-94.25,61.63113925854365
32.25,-92.25,14.22256983971844
32.25,-99.25,7.4867985613333685
32.25,-98.25,37.43399351090193
31.75,-96.25,4.183494800779348
31.75,-95.25,6.275242377227793
31.75,-94.75,11.852142706823846
31.75,-94.25,109.03970691678114
31.75,-93.75,52.847768021010175
31.75,-93.25,37.92685507730736
31.75,-92.75,283.4809495769441
31.75,-92.25,124.6622415309151
31.75,-91.75,42.6677109276255
31.75,-90.75,2.3704283653059974
31.75,-98.25,7.4867985613333685
31.25,-95.25,81.57486846422155
31.25,-94.75,63.4442069264284
31.25,-94.25,163.4284168370068
31.25,-93.75,44.75945832801517
31.25,-92.75,97.18756315360467
31.25,-91.75,4.740856730611995
31.25,-98.25,4.183494800779348
31.25,-97.25,29.947194245333474
31.25,-96.75,30.815569629271824
30.75,-96.25,42.6677109276255
30.75,-95.75,26.074712546542287
30.75,-95.25,16.733979203117393
30.75,-94.75,130.3735655496518
30.75,-94.25,200.80446870190403
30.75,-93.75,330.8960782413681
30.75,-93.25,170.670843710502
30.75,-90.75,11.852142706823846
30.75,-99.25,52.407592042038836
30.75,-98.25,22.460396388235193
30.75,-97.25,9.48171346122399
30.25,-96.25,145.02235395709673
30.25,-95.75,37.92685384489596
30.25,-94.75,22.460396388235193
30.25,-93.25,198.38317607715726
30.25,-92.25,22.460396388235193
30.25,-91.75,4.740856730611995
30.25,-100.75,14.973597122666737
30.25,-99.25,59.89438849066695
30.25,-98.25,2.3704283653059974
30.25,-97.75,19.94045028711359
30.25,-97.25,46.94803770072758
30.25,-96.75,37.65145285489658
29.75,-96.25,84.08299644423339
29.75,-95.75,89.84158555294077
29.75,-94.75,112.30198053270578
29.75,-94.25,11.852142706823846
29.75,-91.75,2.091747400389674
29.75,-91.25,2.091747400389674
29.75,-90.75,34.31253909505904
29.75,-99.75,11.016099107839787
29.75,-99.25,60.01173729589209
29.75,-98.75,1014.6220928480228
29.75,-98.25,351.78121200948954
29.75,-97.75,87.70913072365026
29.75,-97.25,221.22761721070856
29.75,-96.75,389.6422596630485
29.25,-94.75,29.947194245333474
29.25,-91.75,38.31418384689217
29.25,-91.25,90.07628175492088
29.25,-90.75,99.55799592037995
29.25,-99.25,152.17106826758632
29.25,-98.75,28.44513967943688
29.25,-98.25,65.53923271720609
29.25,-97.75,146.13051645845795
29.25,-97.25,122.41753585419308
29.25,-96.75,48.15959388483316
28.75,-96.25,9.48171346122399
28.75,-99.25,69.86896721553057
28.75,-97.75,70.55548832511218
28.75,-96.75,2.3704283653059974
28.25,-96.25,18.96342692244798
28.25,-100.75,22.460396388235193
28.25,-97.25,40.68461221219817
28.25,-96.75,56.11020378706356
27.75,-100.25,18.40606464049779
27.75,-98.75,6.275242377227793
27.75,-98.25,16.592998381083213
27.75,-97.75,4.183494800779348
27.75,-97.25,135.53736016883823
27.75,-96.75,351.1152091412805
27.25,95.75,0.4090909090909091
27.25,96.75,0.09090909090909091
27.25,97.75,0.15584415739232843
27.25,-97.75,35.55970563056568
27.25,-97.25,63.58518457940469
26.75,95.75,0.2929292863065546
26.25,95.25,0.3232323310591958
26.25,95.75,0.6951215660030191
26.25,96.75,0.46753246133977716
26.25,97.25,0.09090909090909091
26.25,97.75,0.1092629771340977
25.75,94.75,0.04588471217588945
25.75,95.75,0.08080808141014793
25.75,97.25,0.09090909090909091
25.75,97.75,0.0022942357781258497
25.25,-101.75,0.2495749933379037
24.75,-101.75,0.27705628531319754
24.75,-101.25,0.010984610233988081
24.25,-100.75,0.0036615367446626934
24.25,-100.25,0.03701561689376831
24.25,-99.75,0.0036615367446626934
24.25,-98.25,2.354682077254568
23.75,-1.25,6.011682052630931
23.75,-0.25,10.52044359210413
23.75,-102.75,0.0036615367446626934
23.75,-101.75,0.010984610233988081
23.75,-100.75,0.1850780759538923
23.75,-99.75,0.16326531342097692
23.75,-98.75,0.018307683723313466
23.75,-98.25,0.272209101489612
23.25,7.25,0.32066301596933044
23.25,-1.25,16.53212654334493
23.25,-0.25,4.508761539473198
23.25,-102.75,0.27705628531319754
23.25,-102.25,0.32653062684195383
23.25,-101.75,0.13061224562781198
23.25,-100.25,0.33147805503436495
23.25,-99.75,0.12845300350870406
23.25,-98.75,0.12190476485661098
23.25,-98.25,0.09836020852838244
22.75,84.75,0.7399999698003132
22.75,-102.25,0.0036615367446626934
22.75,-99.75,0.4765368103981018
22.75,-98.75,0.2807178220578602
22.75,-98.25,1.1155326515436172
22.25,0.25,8.04062511981465
22.25,1.75,8.04062511981465
22.25,2.75,8.04062511981465
22.25,-102.75,0.007323073489325387
22.25,-101.75,0.13061224562781198
22.25,-100.75,1.4433094348226274
22.25,-100.25,0.06095238242830549
22.25,-99.75,2.8647618974958147
22.25,-98.75,0.48002080406461445
22.25,-98.25,0.8787687846592495
22.25,-97.75,0.014646146978650774
21.75,4.25,0.32066301596933044
21.75,-1.25,75.14602985139936
21.75,0.75,48.24375191703439
21.75,1.25,16.0812502396293
21.75,2.25,8.04062511981465
21.75,-103.75,0.054421769721167426
21.75,-102.75,0.4367606980460031
21.75,-102.25,0.13852814265659877
21.75,-101.75,0.0910136763538633
21.75,-101.25,1.5158936721937997
21.75,-100.75,2.602350107261113
21.75,-100.25,5.635105133056641
21.75,-99.75,2.6651243482317244
21.75,-99.25,0.6098011221204486
21.75,-98.75,0.10884353944233485
21.75,-98.25,0.08055381051131658
21.75,-97.75,0.0036615367446626934
21.25,-1.25,10.52044359210413
21.25,-0.25,6.011682052630931
21.25,0.25,52.60221885913052
21.25,0.75,8.04062511981465
21.25,1.25,58.924641402671114
21.25,1.75,168.85312212444842
21.25,2.25,16.0812502396293
21.25,3.25,16.0812502396293
21.25,-104.75,0.6530612536839077
21.25,-103.75,0.2911737986973354
21.25,-101.75,0.7562199490410941
21.25,-101.25,0.5224489825112479
21.25,-100.75,1.3963636670793806
21.25,-100.25,2.990574266229357
21.25,-99.75,0.058234759739467075
21.25,-99.25,0.7903237853731427
21.25,-98.75,0.9142857279096331
21.25,-98.25,1.240916650210108
20.75,3.75,0.32066301596933044
20.75,4.25,0.32066301596933044
20.75,4.75,0.32066301596933044
20.75,-1.25,3.0058410263154656
20.75,-0.25,9.017523078946397
20.75,0.25,244.52517063589767
20.75,0.75,5.734634788997937
20.75,1.25,141.1484924365941
20.75,1.75,28.536730220599566
20.75,3.25,2.0164576318929903
20.75,-103.75,0.058234759739467075
20.75,-102.25,0.19676290239606584
20.75,-101.75,0.2657179555722645
20.75,-100.75,0.676017335483006
20.75,-100.25,2.362037181854248
20.75,-99.75,2.4743822813034058
20.75,-99.25,1.2933432800429208
20.75,-98.75,0.1379609193120684
20.75,-98.25,0.0036615367446626934
20.75,-97.25,0.058234759739467075
20.25,3.75,9.013230794022093
20.25,-1.25,6.011682052630931
20.25,0.25,8.04062511981465
20.25,0.75,26.93262795850751
20.25,1.25,8.879881956905592
20.25,1.75,41.904844525211956
20.25,2.25,2.8001021251257043
20.25,2.75,10.08228890830651
20.25,3.25,1.0082288159464952
20.25,-104.75,0.13852814265659877
20.25,-101.75,0.13061224562781198
20.25,-100.75,0.06095238242830549
20.25,-100.25,0.5551020588193621
20.25,-99.75,0.8707483155386788
20.25,-99.25,0.13061224562781198
20.25,-98.75,2.8972172055925642
20.25,-97.75,0.6926407132829938
20.25,-97.25,0.26205641882760183
19.75,6.25,0.8508597626059782
19.75,-1.25,11.472230497514829
