lat,lon,v
32.75,-94.25,113.78055871774752
32.75,-91.75,10.458736825889597
32.75,-100.25,8.366989601558696
32.25,-92.25,41.13660666439682
32.25,-99.25,7.4867985613333685
32.25,-98.25,217.11716461678347
31.75,-95.25,12.550484754455587
31.75,-94.75,126.89168925024569
31.75,-94.25,73.21115848546226
31.75,-93.75,27.609097136805456
31.75,-93.25,79.48640086269006
31.75,-92.75,182.94265419027457
31.75,-92.25,144.46171522140503
31.75,-91.75,311.2506982302293
31.75,-98.75,9.48171346122399
31.75,-98.25,14.973597122666737
31.75,-97.75,7.11128491985922
31.75,-97.25,14.973597122666737
31.25,-95.25,94.25977655570023
31.25,-94.75,118.66239662251125
31.25,-94.25,97.19084488910933
31.25,-93.75,143.20928664132953
31.25,-93.25,47.54954883238921
31.25,-92.75,276.3696625443796
31.25,-92.25,2.091747400389674
31.25,-91.75,7.11128491985922
31.25,-99.25,14.973597122666737
31.25,-97.25,6.275242377227793
31.25,-96.75,9.48171346122399
30.75,-96.25,16.03563750760319
30.75,-95.75,21.33385546381275
30.75,-95.25,52.71006664571663
30.75,-94.75,276.04354888154194
30.75,-94.25,28.44513967943688
30.75,-93.75,601.5642366210619
30.75,-93.25,122.71147653708856
30.75,-91.75,6.275242377227793
30.75,-90.75,47.408570827295385
30.75,-100.75,29.947194245333474
30.75,-99.75,37.43399351090193
30.75,-99.25,52.407592042038836
30.75,-98.25,9.857226926639365
30.25,-96.25,212.3680905190607
30.25,-95.75,101.92841741939385
30.25,-94.75,14.973597122666737
30.25,-93.25,231.9665079091986
30.25,-91.75,6.275242377227793
30.25,-99.75,8.366989601558696
30.25,-99.25,44.920792776470385
30.25,-97.75,41.83494730355839
30.25,-97.25,23.704285413647693
30.25,-96.75,54.51985222597917
29.75,-96.25,96.77446307707578
29.75,-95.75,7.4867985613333685
29.75,-94.75,67.38119057317576
29.75,-94.25,7.4867985613333685
29.75,-92.25,37.98281799877683
29.75,-91.25,2.091747400389674
29.75,-99.25,4.740856730611995
29.75,-98.75,266.2027276394268
29.75,-98.25,335.64021212995675
29.75,-97.75,99.00390903581865
29.75,-97.25,158.28299500700086
29.75,-96.75,185.5778047007819
29.25,-95.75,52.407592042038836
29.25,-91.75,245.99722298420966
29.25,-91.25,10.458736825889597
29.25,-90.75,20.917473651779193
29.25,-99.25,18.781578281971935
29.25,-98.75,58.84760905612105
29.25,-98.25,315.5277496059425
29.25,-97.75,45.59878102162232
29.25,-97.25,76.85436624032445
29.25,-96.75,52.407592042038836
28.75,-99.25,18.96342692244798
28.75,-98.25,29.947194245333474
28.75,-97.75,7.11128491985922
28.75,-97.25,17.06534452305641
28.75,-96.75,31.942109849459182
28.25,-99.25,7.4867985613333685
