lat,lon,v
32.75,-95.25,14.22256983971844
32.75,-100.25,12.550484754455587
32.75,-98.25,181.98201978454986
32.25,-94.25,4.183494800779348
32.25,-92.25,132.18990896704298
32.25,-99.25,10.458736825889597
32.25,-98.25,39.5257409112916
31.75,-96.25,33.185996762166425
31.75,-95.25,130.3735611481825
31.75,-94.75,42.6677109276255
31.75,-93.75,100.25961442175321
31.75,-93.25,123.26883917115629
31.75,-92.75,136.5111067276448
31.75,-92.25,306.644261315465
31.75,-91.25,2.3704283653059974
31.75,-90.75,40.018600541050546
31.75,-98.25,22.460396388235193
31.25,-95.75,13.762040938561162
31.25,-95.25,22.589559441277135
31.25,-94.75,37.92685384489596
31.25,-94.25,7.11128491985922
31.25,-92.75,118.80994232402493
31.25,-92.25,39.323539348629616
31.25,-99.75,14.973597122666737
31.25,-98.25,8.366989601558696
31.25,-97.25,6.275242377227793
31.25,-96.75,39.323539348629616
30.75,-96.25,29.979527790875483
30.75,-95.75,59.26071212564906
30.75,-95.25,27.75007760672209
30.75,-94.75,73.67694414942525
30.75,-94.25,56.47390036378056
30.75,-93.75,247.7900956546267
30.75,-93.25,73.48328055689733
30.75,-91.75,14.22256983971844
30.75,-90.75,201.07003716162095
30.75,-100.75,29.947194245333474
30.75,-99.75,37.43399351090193
30.75,-99.25,7.4867985613333685
30.75,-98.75,8.366989601558696
30.75,-97.75,4.740856730611995
30.75,-97.25,24.681306665608037
30.25,-96.25,173.04127647727728
30.25,-95.75,332.91330753422034
30.25,-95.25,466.9743874371052
30.25,-94.75,44.920792776470385
30.25,-93.75,14.22256983971844
30.25,-93.25,128.4378951306765
30.25,-92.25,7.4867985613333685
30.25,-100.75,7.4867985613333685
30.25,-99.25,14.973597122666737
30.25,-97.75,78.92247827878843
30.25,-97.25,47.01254017686006
30.25,-96.75,14.22256983971844
29.75,-96.25,122.98359455917186
29.75,-94.25,7.4867985613333685
29.75,-93.25,7.11128491985922
29.75,-91.75,8.366989601558696
29.75,-90.75,7.4867985613333685
29.75,-99.75,41.83494730355839
29.75,-99.25,94.79136453770722
